task_id,occupation,occupation_de,sector,onet_code,task_text,paraphrase_de,task_source,berufenet_id
MOD_0000,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,"Define the company's vision, mission, and long-term strategy.",Die Unternehmensvision und langfristige Strategie festlegen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0001,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Make final decisions on major business investments and initiatives.,Entscheidungen über größere Investitionen und Initiativen treffen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0002,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,"Represent the company to investors, board members, and the public.",Das Unternehmen gegenüber Investoren und der Öffentlichkeit vertreten.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0003,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,"Hire, develop, and lead the executive management team.","Das Führungsteam aufbauen, entwickeln und leiten.",modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0004,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Negotiate strategic partnerships and key contracts.,Strategische Partnerschaften und Schlüsselverträge verhandeln.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0005,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Review financial reports and oversee company performance.,Finanzberichte prüfen und die Unternehmensleistung überwachen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0006,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Ensure compliance with legal and regulatory requirements.,Die Einhaltung gesetzlicher und regulatorischer Vorgaben sicherstellen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0007,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Communicate company strategy and results to employees.,Unternehmensstrategie und Ergebnisse an Mitarbeiter kommunizieren.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0008,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Manage relationships with the board of directors.,Die Beziehung zum Aufsichtsrat pflegen und gestalten.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0009,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Drive organizational culture and values.,Die Unternehmenskultur und Werte vorantreiben.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0010,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Respond to crises and make high-stakes decisions under pressure.,In Krisensituationen Entscheidungen unter Druck treffen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0011,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Identify new market opportunities and growth areas.,Neue Marktchancen und Wachstumsfelder identifizieren.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0012,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Develop and oversee the company's overall marketing strategy.,Die gesamte Marketingstrategie des Unternehmens entwickeln und steuern.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
