task_id,skill_id,skill_name_en,skill_name_de,skill_category,relevance,rank,rationale,evidence_keywords,model_name,prompt_version,run_date
BN_0001,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.95,1,Central skill as the task is about checking hazardous waste handling and storage.,gefährliche Abfälle|behandelt|gelagert,gpt-4.1-mini,final_v4,2026-03-07
BN_0001,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,domain,0.85,2,Core skill needed to ensure compliance with regulations regarding hazardous waste.,Kontrollieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0001,SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,operational,0.8,3,Core skill because the task involves monitoring and checking conditions in companies.,Kontrollieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0002,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,domain,0.95,1,Interpreting and monitoring compliance with regulations is central to checking if businesses follow waste laws.,Compliance|Einhaltung,gpt-4.1-mini,final_v4,2026-03-07
BN_0002,SK-OPS-001,Quality Control & Inspection,Qualitätskontrolle und Inspektion,operational,0.8,2,Inspecting and checking processes against standards is core to verifying compliance with waste laws.,prüfen,gpt-4.1-mini,final_v4,2026-03-07
BN_0002,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.75,3,Knowledge of waste and hazardous materials is necessary to understand the context of waste laws and compliance.,Abfall,gpt-4.1-mini,final_v4,2026-03-07
BN_0003,SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,operational,0.9,1,"The task is primarily about monitoring compliance, making monitoring and surveillance central.",Überwachen,gpt-4.1-mini,final_v4,2026-03-07
BN_0003,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,domain,0.85,2,Understanding and ensuring compliance with environmental regulations is core to the task.,Vorschriften|Einhaltung,gpt-4.1-mini,final_v4,2026-03-07
BN_0003,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.75,3,Environmental management knowledge supports understanding the regulations and their context.,Umwelt,gpt-4.1-mini,final_v4,2026-03-07
BN_0004,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.9,1,"Central skill for advising on waste avoidance and management, directly related to handling and disposing of waste.",Abfälle|vermeiden|verwalten,gpt-4.1-mini,final_v4,2026-03-07
BN_0004,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.85,2,"Core skill as environmental management includes waste management and minimizing ecological impact, relevant for advising companies.",Abfälle|vermeiden|verwalten,gpt-4.1-mini,final_v4,2026-03-07
BN_0004,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,domain,0.75,3,Required skill because advising companies on waste management involves understanding and applying regulatory compliance.,Vorschrift|Compliance,gpt-4.1-mini,final_v4,2026-03-07
BN_0005,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,social,0.85,1,Informing about results and problems requires clear and accurate reporting in writing.,Informieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0005,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,cognitive,0.75,2,Interpreting results requires data analysis skills to understand outcomes.,Ergebnisse,gpt-4.1-mini,final_v4,2026-03-07
BN_0005,SK-COG-002,Problem Solving,Problemlösung,cognitive,0.7,3,Identifying where problems exist involves problem-solving abilities.,Probleme,gpt-4.1-mini,final_v4,2026-03-07
BN_0006,SK-COG-002,Problem Solving,Problemlösung,cognitive,0.9,1,Problem solving is central to recognizing causes and suggesting solutions for environmental issues.,Ursachen|erkennen|Lösungen|vorschlagen,gpt-4.1-mini,final_v4,2026-03-07
BN_0006,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.85,2,Environmental management is core to identifying environmental problems and proposing solutions.,Umweltprobleme|Umwelt,gpt-4.1-mini,final_v4,2026-03-07
BN_0006,SK-COG-010,Risk Assessment,Risikobewertung,cognitive,0.7,3,Risk assessment is a necessary supporting skill to evaluate environmental hazards and mitigation.,Ursachen|bewerten,gpt-4.1-mini,final_v4,2026-03-07
BN_0007,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.85,1,Developing concepts for waste reduction and recycling requires strong knowledge of waste and hazardous materials management.,Abfall|Recycling,gpt-4.1-mini,final_v4,2026-03-07
